,Date,Open,High,Low,Close,Volume,Turnover (₹ Cr),SMA_20,EMA_10,RSI,Returns,Volatility
113,2024-06-05,22128.35,22670.4,21791.95,22620.35,638487077.0,64326.85,22513.605,22598.831547273476,52.75214196730481,0.03362425460942675,0.018520701742940165
114,2024-06-06,22798.6,22910.15,22642.6,22821.4,480413289.0,49047.39,22556.8,22639.298538678297,54.362613884727814,0.008888014553267487,0.01818734050387085
115,2024-06-07,22821.85,23320.2,22789.05,23290.15,473554898.0,47621.54,22618.5475,22757.635168009514,58.74759986237362,0.020539931818380985,0.018647219787334746
116,2024-06-10,23319.15,23411.9,23227.15,23259.2,304392368.0,29060.4,22676.305,22848.828773825964,58.09685396497999,-0.0013288879633664985,0.018670851287779896
117,2024-06-11,23283.75,23389.45,23206.65,23264.85,305185666.0,29190.91,22728.655,22924.468996766696,57.502108755553046,0.00024291463162962046,0.018669471634196463
118,2024-06-12,23344.45,23441.95,23295.95,23322.95,295630910.0,31795.48,22784.775,22996.920088263658,54.2972907595549,0.0024973296625596664,0.01865380363164524
119,2024-06-13,23480.95,23481.05,23353.9,23398.9,268279841.0,30151.67,22834.527500000004,23070.00734494299,55.26027527742062,0.00325644911985834,0.01859180706513769
120,2024-06-14,23464.95,23490.4,23334.25,23465.6,223086741.0,25746.34,22884.5025,23141.93328222608,56.2849968760683,0.002850561351174452,0.01859190304530886
121,2024-06-18,23570.8,23579.05,23499.7,23557.9,272207297.0,29389.75,22937.2975,23217.56359454861,57.80694494632178,0.003933417428064967,0.01859429431226125
122,2024-06-19,23629.85,23664.0,23412.9,23516.0,328811255.0,39430.39,22986.645,23271.824759176136,59.7796475324863,-0.0017785965642099777,0.01861685870703102
123,2024-06-20,23586.15,23624.0,23442.6,23567.0,280336970.0,33390.07,23035.105000000003,23325.492984780474,63.53741667398969,0.0021687361796223215,0.018616062676282404
124,2024-06-21,23661.15,23667.1,23398.2,23501.1,609877803.0,70062.97,23061.7775,23357.421533002205,62.10971622532253,-0.0027962829380066,0.018343445632276693
125,2024-06-24,23382.3,23558.1,23350.0,23537.85,239358460.0,24862.37,23090.815000000002,23390.226708819984,54.137904992070034,0.0015637565901169825,0.018338746620258858
126,2024-06-25,23577.1,23754.15,23562.05,23721.3,298111025.0,34263.36,23130.2575,23450.421852670894,93.43754434091646,0.007793829937738694,0.01838262426255334
127,2024-06-26,23723.1,23889.9,23670.45,23868.8,287824687.0,33979.62,23179.29,23526.49060673073,90.90730364690829,0.006218040326626317,0.01838458003779413
128,2024-06-27,23881.55,24087.45,23805.4,24044.5,515227010.0,61216.71,23246.28,23620.674132779688,90.75369852059156,0.007361073870492119,0.018253177657674997
129,2024-06-28,24085.9,24174.0,23985.8,24010.6,354779832.0,41242.87,23322.3775,23691.56974500156,83.80014074595319,-0.0014098858366778932,0.018048757261908376
130,2024-07-01,23992.95,24164.0,23992.7,24141.95,242468081.0,28204.06,23402.94,23773.457064092185,87.8489045148563,0.005470500528933053,0.01805025858177303
131,2024-07-02,24228.75,24236.35,24056.4,24123.85,309629240.0,34838.65,23445.9375,23837.164870620876,86.44154081113145,-0.0007497323124272537,0.01672913816249863
